title,onetsoc_code,job_zone,risk_score,risk_label,match_score
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",53-1042.00,2.0,1,Low Risk,0.8875000000000001
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",39-1014.00,2.0,1,Low Risk,0.8875000000000001
Landscaping and Groundskeeping Workers,37-3011.00,2.0,1,Low Risk,0.8875000000000001
Nannies,39-9011.01,2.0,1,Low Risk,0.8875000000000001
Hydroelectric Production Managers,11-3051.06,3.0,0,Low Risk,0.8166666666666668
Patient Representatives,29-2099.08,3.0,0,Low Risk,0.8166666666666668
Hearing Aid Specialists,29-2092.00,3.0,0,Low Risk,0.8166666666666668
Health Information Technologists and Medical Registrars,29-9021.00,3.0,0,Low Risk,0.8166666666666668
Dietetic Technicians,29-2051.00,3.0,0,Low Risk,0.8166666666666668
Psychiatric Technicians,29-2053.00,3.0,0,Low Risk,0.8166666666666668
Choreographers,27-2032.00,3.0,0,Low Risk,0.8166666666666668
Occupational Therapy Assistants,31-2011.00,3.0,0,Low Risk,0.8166666666666668
Speech-Language Pathology Assistants,31-9099.01,3.0,0,Low Risk,0.8166666666666668
Tutors,25-3041.00,3.0,0,Low Risk,0.8166666666666668
Self-Enrichment Teachers,25-3021.00,3.0,0,Low Risk,0.8166666666666668
