title,onetsoc_code,job_zone,risk_score,risk_label,match_score
Hydroelectric Production Managers,11-3051.06,3.0,0,Low Risk,0.8666666666666667
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,53-1043.00,3.0,0,Low Risk,0.8666666666666667
Geographic Information Systems Technologists and Technicians,15-1299.02,3.0,0,Low Risk,0.8666666666666667
Web Developers,15-1254.00,3.0,0,Low Risk,0.8666666666666667
Computer User Support Specialists,15-1232.00,3.0,0,Low Risk,0.8666666666666667
Health Information Technologists and Medical Registrars,29-9021.00,3.0,0,Low Risk,0.8666666666666667
Occupational Therapy Assistants,31-2011.00,3.0,0,Low Risk,0.8666666666666667
Patient Representatives,29-2099.08,3.0,0,Low Risk,0.8666666666666667
Psychiatric Technicians,29-2053.00,3.0,0,Low Risk,0.8666666666666667
Dietetic Technicians,29-2051.00,3.0,0,Low Risk,0.8666666666666667
Hearing Aid Specialists,29-2092.00,3.0,0,Low Risk,0.8666666666666667
Speech-Language Pathology Assistants,31-9099.01,3.0,0,Low Risk,0.8666666666666667
Choreographers,27-2032.00,3.0,0,Low Risk,0.8666666666666667
Self-Enrichment Teachers,25-3021.00,3.0,0,Low Risk,0.8666666666666667
Tutors,25-3041.00,3.0,0,Low Risk,0.8666666666666667
