onetsoc_code,title,job_zone,routine_cognitive_tasks,manual_tasks,social_tasks,nonroutine_cognitive_tasks,risk_score,risk_label
11-1011.00,Chief Executives,5.0,0.03225806451612903,0.0,0.0967741935483871,0.3225806451612903,1,Low Risk
11-1011.03,Chief Sustainability Officers,5.0,0.2222222222222222,0.0,0.0,0.5555555555555556,1,Low Risk
11-1021.00,General and Operations Managers,4.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.17647058823529413,2,Moderate Risk
11-1031.00,Legislators,4.0,0.03333333333333333,0.0,0.13333333333333333,0.16666666666666666,1,Low Risk
11-2011.00,Advertising and Promotions Managers,4.0,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.6,1,Low Risk
11-2021.00,Marketing Managers,4.0,0.1,0.0,0.0,0.5,1,Low Risk
11-2022.00,Sales Managers,4.0,0.29411764705882354,0.0,0.0,0.17647058823529413,2,Moderate Risk
11-2032.00,Public Relations Managers,4.0,0.0,0.05,0.15,0.45,0,Low Risk
11-2033.00,Fundraising Managers,4.0,0.0,0.0625,0.0,0.6875,1,Low Risk
11-3012.00,Administrative Services Managers,3.0,0.2777777777777778,0.05555555555555555,0.2222222222222222,0.2777777777777778,0,Low Risk
11-3013.00,Facilities Managers,3.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,2,Moderate Risk
11-3013.01,Security Managers,4.0,0.21428571428571427,0.0,0.10714285714285714,0.42857142857142855,0,Low Risk
11-3021.00,Computer and Information Systems Managers,4.0,0.058823529411764705,0.0,0.11764705882352941,0.4117647058823529,0,Low Risk
11-3031.00,Financial Managers,4.0,0.11764705882352941,0.0,0.11764705882352941,0.35294117647058826,0,Low Risk
11-3031.01,Treasurers and Controllers,4.0,0.2727272727272727,0.0,0.09090909090909091,0.36363636363636365,1,Low Risk
11-3031.03,Investment Fund Managers,5.0,0.25,0.0,0.0,0.4,1,Low Risk
11-3051.00,Industrial Production Managers,4.0,0.38095238095238093,0.0,0.047619047619047616,0.2857142857142857,1,Low Risk
11-3051.01,Quality Control Systems Managers,4.0,0.25925925925925924,0.0,0.07407407407407407,0.2222222222222222,1,Low Risk
