state,abbr,mobility_score,poverty_rate,enrollment_count,tract_count,lat,lon
Alabama,AL,0.34,0.19,420000,1180,32.8,-86.8
Alaska,AK,0.46,0.10,98000,280,64.8,-152.4
Arizona,AZ,0.39,0.14,760000,1450,34.2,-111.9
Arkansas,AR,0.35,0.18,290000,760,34.9,-92.4
California,CA,0.43,0.12,3900000,4200,36.7,-119.4
Colorado,CO,0.49,0.09,650000,940,39.1,-105.5
Connecticut,CT,0.49,0.09,360000,470,41.6,-72.7
Delaware,DE,0.44,0.11,97000,210,39.0,-75.5
Florida,FL,0.38,0.13,2200000,2670,27.8,-81.7
Georgia,GA,0.37,0.14,1100000,1850,32.6,-83.4
Hawaii,HI,0.47,0.09,145000,230,19.9,-155.6
Idaho,ID,0.47,0.10,185000,360,44.2,-114.6
Illinois,IL,0.44,0.12,1250000,1900,40.0,-89.2
Indiana,IN,0.43,0.11,660000,1030,39.8,-86.1
Iowa,IA,0.48,0.09,300000,520,42.1,-93.5
Kansas,KS,0.45,0.10,310000,490,38.5,-98.0
Kentucky,KY,0.37,0.15,430000,930,37.5,-85.3
Louisiana,LA,0.33,0.20,430000,980,30.9,-92.0
Maine,ME,0.50,0.08,135000,240,45.3,-69.0
Maryland,MD,0.46,0.09,620000,820,39.0,-76.7
Massachusetts,MA,0.52,0.07,710000,900,42.4,-71.4
Michigan,MI,0.43,0.12,990000,1600,44.2,-85.5
Minnesota,MN,0.51,0.08,560000,830,46.7,-94.7
Mississippi,MS,0.31,0.21,280000,820,32.7,-89.7
Missouri,MO,0.40,0.12,610000,1070,38.5,-92.3
Montana,MT,0.47,0.09,120000,260,46.9,-110.4
Nebraska,NE,0.47,0.09,210000,330,41.5,-99.7
Nevada,NV,0.40,0.12,290000,430,38.3,-117.0
New Hampshire,NH,0.53,0.06,150000,210,43.7,-71.6
New Jersey,NJ,0.49,0.08,900000,1250,40.1,-74.5
New Mexico,NM,0.34,0.18,200000,430,34.5,-106.0
New York,NY,0.47,0.10,2000000,2800,42.9,-75.5
North Carolina,NC,0.39,0.13,1020000,1700,35.5,-79.4
North Dakota,ND,0.48,0.08,76000,140,47.5,-100.5
Ohio,OH,0.42,0.12,1160000,1780,40.3,-82.8
Oklahoma,OK,0.36,0.15,395000,760,35.5,-97.5
Oregon,OR,0.46,0.10,420000,700,43.9,-120.6
Pennsylvania,PA,0.45,0.10,1280000,2050,41.2,-77.1
Rhode Island,RI,0.48,0.09,105000,160,41.7,-71.5
South Carolina,SC,0.36,0.14,520000,900,33.8,-80.9
South Dakota,SD,0.47,0.09,90000,150,44.4,-100.2
Tennessee,TN,0.37,0.14,700000,1150,35.8,-86.4
Texas,TX,0.38,0.14,2900000,3500,31.0,-99.0
Utah,UT,0.50,0.07,330000,450,39.3,-111.7
Vermont,VT,0.51,0.07,65000,120,44.0,-72.7
Virginia,VA,0.46,0.09,880000,1320,37.5,-78.7
Washington,WA,0.49,0.09,780000,1080,47.4,-120.7
West Virginia,WV,0.34,0.17,170000,430,38.6,-80.6
Wisconsin,WI,0.48,0.09,580000,930,44.5,-89.5
Wyoming,WY,0.46,0.09,58000,95,43.0,-107.5
