table_name,status,rows,notes
occupation_risk_round2.csv,complete,1016,
occupation_risk_distribution.csv,complete,8,
career_recommendations_by_group.csv,complete,60,
geo_context_tracts.csv,complete,73202,
geo_context_state_summary.csv,complete,52,
dashboard_group_metrics.csv,complete,4,
model2_cluster_profiles_mean.csv,complete,4,
model_rules_round2.csv,complete,4,
matching_weights_round2.csv,complete,2,
resource_directory.csv,complete,5,
chatbot_knowledge_base.csv,complete,5,
duckdb_table_inventory.csv,complete,1305,
data_claims.json,complete,1,
round1_vs_round2_instructor_notes.json,complete,1,
null_audit_summary.csv,complete,8,
