table_name,column_name,data_type,is_nullable
abilities_to_work_activities,abilities_element_id,VARCHAR,NO
abilities_to_work_activities,work_activities_element_id,VARCHAR,NO
alternate_titles,alternate_title,VARCHAR,NO
alternate_titles,onetsoc_code,VARCHAR,NO
alternate_titles,short_title,VARCHAR,YES
alternate_titles,sources,VARCHAR,NO
census_2010_race_nation,American Indian Tribal Subdivision (FIPS),DOUBLE,YES
census_2010_race_nation,American Indian and Alaska Native alone,BIGINT,YES
census_2010_race_nation,Area (Land),BIGINT,YES
census_2010_race_nation,Area (Water),BIGINT,YES
census_2010_race_nation,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,VARCHAR,YES
census_2010_race_nation,Asian alone,BIGINT,YES
census_2010_race_nation,Black or African American alone,BIGINT,YES
census_2010_race_nation,Data File Year,BIGINT,YES
census_2010_race_nation,FIPS American Indian Area/Alaska Native Area/Hawaiian Home Land Class Code,DOUBLE,YES
census_2010_race_nation,FIPS County Subdivision Class Code,DOUBLE,YES
census_2010_race_nation,FIPS Place Class Code,DOUBLE,YES
census_2010_race_nation,Female,BIGINT,YES
census_2010_race_nation,Female: 10 to 14 years,BIGINT,YES
census_2010_race_nation,Female: 15 to 17 years,BIGINT,YES
census_2010_race_nation,Female: 18 and 19 years,BIGINT,YES
census_2010_race_nation,Female: 20 years,BIGINT,YES
census_2010_race_nation,Female: 21 years,BIGINT,YES
census_2010_race_nation,Female: 22 to 24 years,BIGINT,YES
census_2010_race_nation,Female: 25 to 29 years,BIGINT,YES
census_2010_race_nation,Female: 30 to 34 years,BIGINT,YES
census_2010_race_nation,Female: 35 to 39 years,BIGINT,YES
census_2010_race_nation,Female: 40 to 44 years,BIGINT,YES
census_2010_race_nation,Female: 45 to 49 years,BIGINT,YES
census_2010_race_nation,Female: 5 to 9 years,BIGINT,YES
census_2010_race_nation,Female: 50 to 54 years,BIGINT,YES
census_2010_race_nation,Female: 55 to 59 years,BIGINT,YES
census_2010_race_nation,Female: 60 and 61 years,BIGINT,YES
census_2010_race_nation,Female: 62 to 64 years,BIGINT,YES
census_2010_race_nation,Female: 65 and 66 years,BIGINT,YES
census_2010_race_nation,Female: 67 to 69 years,BIGINT,YES
census_2010_race_nation,Female: 70 to 74 years,BIGINT,YES
census_2010_race_nation,Female: 75 to 79 years,BIGINT,YES
census_2010_race_nation,Female: 80 to 84 years,BIGINT,YES
census_2010_race_nation,Female: 85 years and over,BIGINT,YES
census_2010_race_nation,Female: Under 5 years,BIGINT,YES
census_2010_race_nation,Functional Status Code,VARCHAR,YES
census_2010_race_nation,GIS Join Match Code,VARCHAR,YES
census_2010_race_nation,Internal Point (Latitude),DOUBLE,YES
census_2010_race_nation,Internal Point (Longitude),DOUBLE,YES
census_2010_race_nation,Legal/Statistical Area Description Code,BIGINT,YES
census_2010_race_nation,Male,BIGINT,YES
census_2010_race_nation,Male: 10 to 14 years,BIGINT,YES
census_2010_race_nation,Male: 15 to 17 years,BIGINT,YES
census_2010_race_nation,Male: 18 and 19 years,BIGINT,YES
census_2010_race_nation,Male: 20 years,BIGINT,YES
census_2010_race_nation,Male: 21 years,BIGINT,YES
census_2010_race_nation,Male: 22 to 24 years,BIGINT,YES
census_2010_race_nation,Male: 25 to 29 years,BIGINT,YES
census_2010_race_nation,Male: 30 to 34 years,BIGINT,YES
census_2010_race_nation,Male: 35 to 39 years,BIGINT,YES
census_2010_race_nation,Male: 40 to 44 years,BIGINT,YES
